PID CMD
1 /sbin/init
2 [kthreadd]
3 [pool_workqueue_release]
4 [kworker/R-rcu_g]
5 [kworker/R-rcu_p]
6 [kworker/R-slub_]
7 [kworker/R-netns]
12 [kworker/R-mm_pe]
13 [rcu_tasks_kthread]
14 [rcu_tasks_rude_kthread]
15 [rcu_tasks_trace_kthread]
16 [ksoftirqd/0]
17 [rcu_preempt]
18 [migration/0]
19 [idle_inject/0]
20 [cpuhp/0]
21 [cpuhp/1]
22 [idle_inject/1]
23 [migration/1]
24 [ksoftirqd/1]
29 [kdevtmpfs]
30 [kworker/R-inet_]
32 [kauditd]
33 [khungtaskd]
34 [oom_reaper]
36 [kworker/R-write]
37 [kcompactd0]
38 [ksmd]
40 [khugepaged]
41 [kworker/R-kinte]
42 [kworker/R-kbloc]
43 [kworker/R-blkcg]
44 [irq/9-acpi]
45 [kworker/R-tpm_d]
46 [kworker/R-ata_s]
47 [kworker/R-md]
48 [kworker/R-md_bi]
49 [kworker/R-edac-]
50 [kworker/R-devfr]
51 [watchdogd]
53 [kswapd0]
54 [ecryptfs-kthread]
55 [kworker/R-kthro]
56 [kworker/R-acpi_]
58 [scsi_eh_0]
60 [kworker/R-scsi_]
61 [scsi_eh_1]
62 [kworker/R-scsi_]
64 [kworker/R-mld]
65 [kworker/R-ipv6_]
74 [kworker/R-kstrp]
76 [kworker/u7:0]
77 [kworker/u8:0]
78 [kworker/u9:0]
91 [kworker/R-charg]
140 [kworker/R-ttm]
147 [scsi_eh_2]
148 [kworker/R-scsi_]
149 [scsi_eh_3]
150 [kworker/R-scsi_]
152 [scsi_eh_4]
165 [kworker/R-scsi_]
167 [scsi_eh_5]
168 [kworker/R-scsi_]
174 [scsi_eh_6]
175 [kworker/R-scsi_]
178 [scsi_eh_7]
179 [kworker/R-scsi_]
180 [scsi_eh_8]
181 [kworker/R-scsi_]
182 [scsi_eh_9]
183 [kworker/R-scsi_]
184 [scsi_eh_10]
185 [kworker/R-scsi_]
186 [scsi_eh_11]
187 [kworker/R-scsi_]
188 [scsi_eh_12]
189 [kworker/R-scsi_]
190 [scsi_eh_13]
191 [kworker/R-scsi_]
192 [scsi_eh_14]
193 [kworker/R-scsi_]
194 [scsi_eh_15]
195 [kworker/R-scsi_]
196 [scsi_eh_16]
197 [kworker/R-scsi_]
198 [scsi_eh_17]
199 [kworker/R-scsi_]
200 [scsi_eh_18]
201 [kworker/R-scsi_]
202 [scsi_eh_19]
203 [kworker/R-scsi_]
